route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-325,000530,OCESN23737F236965:2021-03-09T18:51:45Z,23737,1,1566,
OCESN-325,000088,OCESN23738F220365:2021-02-24T15:20:15Z,23738,0,1567,
OCESN-325,000529,OCESN23738F237452:2021-03-09T18:51:45Z,23738,0,1568,
OCESN-325,000088,OCESN23740F220034:2021-02-24T15:20:15Z,23740,0,1569,
OCESN-325,000531,OCESN23740F234475:2021-03-09T18:51:45Z,23740,0,1570,
OCESN-325,000532,OCESN23740F235390:2021-02-24T15:20:15Z,23740,0,1571,
OCESN-325,000530,OCESN23741F239473:2021-03-09T18:51:45Z,23741,1,1572,
OCESN-325,000532,OCESN23741F241159:2021-02-24T15:20:15Z,23741,1,1573,
OCESN-325,000533,OCESN23743F201313:2021-02-18T19:09:53Z,23743,1,1574,
OCESN-325,000530,OCESN23743F234474:2021-03-09T18:51:45Z,23743,1,1575,
OCESN-325,000534,OCESN23743F234650:2021-02-24T15:20:15Z,23743,1,1576,
OCESN-325,000088,OCESN23744F220488:2021-02-24T15:20:15Z,23744,0,1577,
OCESN-325,000532,OCESN23744F234466:2021-02-24T15:20:15Z,23744,0,1578,
OCESN-325,000531,OCESN23744F243879:2021-03-09T18:51:45Z,23744,0,1579,
OCESN-325,000413,OCESN23745F234647:2021-03-09T18:51:45Z,23745,1,1580,
OCESN-325,000413,OCESN23747F237284:2021-03-09T18:51:45Z,23747,1,1581,
OCESN-325,000088,OCESN23748F220306:2021-02-24T15:20:15Z,23748,0,1582,
OCESN-325,000532,OCESN23748F236775:2021-02-24T15:20:15Z,23748,0,1583,
OCESN-325,000531,OCESN23748F239964:2021-03-09T18:51:45Z,23748,0,1584,
OCESN-325,000413,OCESN23749F234897:2021-03-09T18:51:45Z,23749,1,1585,
OCESN-325,000088,OCESN23750F222268:2021-02-24T15:20:15Z,23750,0,1586,
OCESN-325,000524,OCESN23750F239476:2021-03-09T18:51:45Z,23750,0,1587,
OCESN-325,000526,OCESN23751F180424:2021-03-03T18:51:00Z,23751,1,1588,
OCESN-325,000458,OCESN23752F180002:2021-03-03T18:51:00Z,23752,0,1589,
OCESN-325,000088,OCESN23752F220874:2021-02-24T15:20:15Z,23752,0,1590,
OCESN-325,000526,OCESN23753F179992:2021-03-03T18:51:00Z,23753,1,1591,
OCESN-325,000088,OCESN23754F220147:2021-02-24T15:20:15Z,23754,0,1592,
OCESN-325,000535,OCESN23754F235168:2021-03-09T18:51:45Z,23754,0,1593,
OCESN-325,000536,OCESN23755F235131:2021-03-09T18:51:45Z,23755,1,1594,
OCESN-325,000413,OCESN23757F237964:2021-03-09T18:51:45Z,23757,1,1595,
OCESN-325,000088,OCESN23758F221820:2021-02-24T15:20:15Z,23758,0,1596,
OCESN-325,000524,OCESN23758F244100:2021-03-09T18:51:45Z,23758,0,1597,
OCESN-325,000088,OCESN23760F220909:2021-02-24T15:20:15Z,23760,0,1598,
OCESN-325,000537,OCESN23760F235150:2021-03-03T18:51:00Z,23760,0,1599,
OCESN-325,000538,OCESN23761F238300:2021-03-09T18:51:45Z,23761,1,1600,
OCESN-325,000413,OCESN23763F234467:2021-03-09T18:51:45Z,23763,1,1601,
OCESN-325,000088,OCESN23764F220362:2021-02-24T15:20:15Z,23764,0,1602,
OCESN-325,000524,OCESN23764F243781:2021-03-09T18:51:45Z,23764,0,1603,
OCESN-325,000088,OCESN23766F220839:2021-02-24T15:20:15Z,23766,0,1604,
OCESN-325,000524,OCESN23766F233072:2021-03-09T18:51:45Z,23766,0,1605,
