ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
TRA_4;2014-08;RER;D;RER D;92.0;11.5
TRA_2;2014-09;RER;B;RER B;87.4;6.9
TRA_10;2014-09;Transilien;N;Paris Montparnasse;91.6;10.9
TRA_8;2014-10;Transilien;K;Paris Nord Crépy;86.5;6.4
TRA_11;2014-10;Transilien;P;Paris Est;90.7;9.8
TRA_12;2014-10;Transilien;R;Paris Sud Est;77.9;3.5
TRA_1;2014-11;RER;A;RER A;69.8;2.3
TRA_2;2014-12;RER;B;RER B;84.6;5.5
TRA_4;2014-12;RER;D;RER D;84.2;5.3
TRA_6;2014-12;Transilien;H;Paris Nord Ouest;94.1;15.9
TRA_8;2014-12;Transilien;K;Paris Nord Crépy;83.6;5.1
TRA_1;2015-01;RER;A;RER A;74.5;2.9
TRA_4;2015-01;RER;D;RER D;86.562984012;6.4
TRA_7;2015-02;Transilien;J;Paris Saint-Lazare Nord;85.0582355825;5.7
TRA_11;2015-02;Transilien;P;Paris Est;92.7710751127;12.8
TRA_3;2015-03;RER;C;RER C;88.9155867451;8.0
TRA_5;2015-03;RER;E;RER E;96.3263168075;26.2
TRA_9;2015-03;Transilien;L;Paris Saint-Lazare Sud;82.9023923154;4.8
TRA_9;2015-04;Transilien;L;Paris Saint-Lazare Sud;81.7515864371;4.5
TRA_12;2015-04;Transilien;R;Paris Sud Est;86.114716919;6.2
TRA_13;2015-04;Transilien;U;La Verrière - La Défense;93.1680234041;13.6
TRA_3;2015-05;RER;C;RER C;91.4447374589;10.7
TRA_4;2015-05;RER;D;RER D;86.3768853161;6.3
TRA_10;2015-05;Transilien;N;Paris Montparnasse;93.7811658877;15.1
TRA_13;2015-05;Transilien;U;La Verrière - La Défense;94.9440173559;18.8
TRA_4;2015-06;RER;D;RER D;82.8097061383;4.8
TRA_12;2015-06;Transilien;R;Paris Sud Est;85.1866824833;5.8
TRA_1;2015-07;RER;A;RER A;73.1;2.7
TRA_4;2015-07;RER;D;RER D;87.7;7.1
TRA_6;2015-07;Transilien;H;Paris Nord Ouest;92.8;12.9
TRA_7;2015-07;Transilien;J;Paris Saint-Lazare Nord;86.9;6.6
TRA_9;2015-07;Transilien;L;Paris Saint-Lazare Sud;78.5;3.7
TRA_9;2015-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
TRA_1;2015-10;RER;A;RER A;65.8300320893;1.9
TRA_8;2015-10;Transilien;K;Paris Nord Crépy;90.2045165447;9.2
TRA_10;2015-10;Transilien;N;Paris Montparnasse;87.4471200064;7.0
TRA_12;2015-10;Transilien;R;Paris Sud Est;85.0449364405;5.7
TRA_1;2015-12;RER;A;RER A;70.1580275165;2.4
TRA_4;2016-01;RER;D;RER D;81.4;4.4
TRA_7;2016-01;Transilien;J;Paris Saint-Lazare Nord;91.6;10.9
TRA_1;2016-02;RER;A;RER A;71.7;2.5
TRA_4;2016-02;RER;D;RER D;86.7;6.5
TRA_10;2016-03;Transilien;N;Paris Montparnasse;93.2;13.7
TRA_11;2016-03;Transilien;P;Paris Est;89.2;8.3
TRA_1;2016-04;RER;A;RER A;72.6;2.6
TRA_2;2016-04;RER;B;RER B;90.1;9.1
TRA_3;2016-04;RER;C;RER C;90.6;9.6
TRA_6;2016-04;Transilien;H;Paris Nord Ouest;96.4;26.8
TRA_7;2016-04;Transilien;J;Paris Saint-Lazare Nord;91.0;10.1
TRA_11;2016-04;Transilien;P;Paris Est;89.4;8.4
TRA_13;2016-04;Transilien;U;La Verrière - La Défense;95.8;22.8
TRA_10;2016-05;Transilien;N;Paris Montparnasse;89.9;8.9
TRA_12;2016-05;Transilien;R;Paris Sud Est;81.1;4.3
TRA_1;2016-06;RER;A;RER A;70.7;2.4
TRA_2;2016-06;RER;B;RER B;88.1;7.4
